




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (3008)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
gene silencing by RNA (GO:0031047)	89	3	13.00	-	.23	4.10E-03	4.99E-02
detection of abiotic stimulus (GO:0009582)	139	36	20.30	+	1.77	4.09E-03	4.99E-02
long-term synaptic potentiation (GO:0060291)	48	17	7.01	+	2.42	4.09E-03	4.99E-02
renal system process (GO:0003014)	116	31	16.94	+	1.83	4.08E-03	4.98E-02
regulation of muscle tissue development (GO:1901861)	41	15	5.99	+	2.50	4.04E-03	4.94E-02
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	41	15	5.99	+	2.50	4.04E-03	4.93E-02
detection of mechanical stimulus (GO:0050982)	54	18	7.89	+	2.28	4.01E-03	4.92E-02
cellular response to zinc ion (GO:0071294)	25	11	3.65	+	3.01	4.01E-03	4.91E-02
cell proliferation in forebrain (GO:0021846)	25	11	3.65	+	3.01	4.01E-03	4.91E-02
cellular response to corticosteroid stimulus (GO:0071384)	62	20	9.06	+	2.21	4.00E-03	4.91E-02
positive regulation of phospholipase activity (GO:0010518)	62	20	9.06	+	2.21	4.00E-03	4.91E-02
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	126	33	18.40	+	1.79	4.00E-03	4.90E-02
hemopoiesis (GO:0030097)	585	115	85.44	+	1.35	3.96E-03	4.87E-02
response to other organism (GO:0051707)	1425	166	208.13	-	.80	3.94E-03	4.84E-02
positive regulation of apoptotic process (GO:0043065)	560	111	81.79	+	1.36	3.93E-03	4.84E-02
establishment of protein localization to membrane (GO:0090150)	313	26	45.72	-	.57	3.93E-03	4.84E-02
DNA packaging (GO:0006323)	202	14	29.50	-	.47	3.91E-03	4.82E-02
blastoderm segmentation (GO:0007350)	21	10	3.07	+	3.26	3.88E-03	4.80E-02
linoleic acid metabolic process (GO:0043651)	21	10	3.07	+	3.26	3.88E-03	4.79E-02
protein phosphorylation (GO:0006468)	685	132	100.05	+	1.32	3.88E-03	4.79E-02
regulation of endothelial cell proliferation (GO:0001936)	135	35	19.72	+	1.78	3.68E-03	4.55E-02
inorganic ion import across plasma membrane (GO:0099587)	85	25	12.41	+	2.01	3.66E-03	4.53E-02
inorganic cation import across plasma membrane (GO:0098659)	85	25	12.41	+	2.01	3.66E-03	4.53E-02
regulation of corticosteroid hormone secretion (GO:2000846)	17	9	2.48	+	3.62	3.56E-03	4.44E-02
spinal cord dorsal/ventral patterning (GO:0021513)	17	9	2.48	+	3.62	3.56E-03	4.44E-02
post-anal tail morphogenesis (GO:0036342)	17	9	2.48	+	3.62	3.56E-03	4.43E-02
positive regulation of cardiocyte differentiation (GO:1905209)	17	9	2.48	+	3.62	3.56E-03	4.43E-02
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	17	9	2.48	+	3.62	3.56E-03	4.43E-02
stabilization of membrane potential (GO:0030322)	17	9	2.48	+	3.62	3.56E-03	4.42E-02
tooth mineralization (GO:0034505)	17	9	2.48	+	3.62	3.56E-03	4.42E-02
mesenchymal cell proliferation (GO:0010463)	17	9	2.48	+	3.62	3.56E-03	4.42E-02
fat cell differentiation (GO:0045444)	103	29	15.04	+	1.93	3.53E-03	4.41E-02
proteoglycan biosynthetic process (GO:0030166)	60	20	8.76	+	2.28	3.53E-03	4.41E-02
negative regulation of phosphorylation (GO:0042326)	395	83	57.69	+	1.44	3.50E-03	4.38E-02
regulation of response to external stimulus (GO:0032101)	1199	217	175.12	+	1.24	3.49E-03	4.36E-02
regulation of biomineral tissue development (GO:0070167)	93	27	13.58	+	1.99	3.46E-03	4.33E-02
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	49	30.38	+	1.61	3.45E-03	4.32E-02
